step,min,max,mean,std,median,skewness,kurtosis,p01,p05,p10,p25,p50,p75,p90,p95,p99,p999,iqr,spread_99_01,void_frac_8.5,void_frac_8.0,peak_frac_12.0,peak_frac_13.5,total_voxels
0,7.984433650970459,13.843308448791504,9.485381126403809,0.43177512288093567,9.450357437133789,0.7162050008773804,1.629483699798584,8.627635955810547,8.848808813095093,8.973848438262939,9.194262266159058,9.450357437133789,9.729468822479248,10.031839656829835,10.245443773269653,10.72549469947815,11.47821023082739,0.5352065563201904,2.0978587436676026,0.3064155578613281,0.0001430511474609375,0.023889541625976562,9.5367431640625e-05,2097152
1,7.980981349945068,13.729278564453125,9.483047485351562,0.432833194732666,9.447856903076172,0.7166380286216736,1.62955904006958,8.623428497314453,8.84498987197876,8.970217990875245,9.191132545471191,9.44785737991333,9.727837562561035,10.030924701690674,10.244956874847412,10.726707830429078,11.479279045104995,0.5367050170898438,2.1032793331146244,0.31948089599609375,0.0002384185791015625,0.023984909057617188,4.76837158203125e-05,2097152
2,7.9775543212890625,13.74752426147461,9.480719566345215,0.4338844120502472,9.445361137390137,0.7170253396034241,1.628891944885254,8.619272775650025,8.841326904296874,8.966662502288818,9.188040733337402,9.445361137390137,9.726149559020996,10.029990005493165,10.244793272018432,10.727472114562989,11.481790632247925,0.5381088256835938,2.1081993389129643,0.3330230712890625,0.0002384185791015625,0.023746490478515625,9.5367431640625e-05,2097152
3,7.974167823791504,13.756292343139648,9.47840690612793,0.43492138385772705,9.442887306213379,0.7172773480415344,1.6271758079528809,8.615137643814087,8.837434768676758,8.963098526000977,9.185056447982788,9.442887306213379,9.7245454788208,10.029216384887697,10.2444326877594,10.728150329589845,11.483205267906206,0.5394890308380127,2.1130126857757574,0.34842491149902344,0.000286102294921875,0.023984909057617188,9.5367431640625e-05,2097152
4,7.97092342376709,13.756909370422363,9.476175308227539,0.4359150230884552,9.440481185913086,0.7174504995346069,1.6248865127563477,8.611071195602417,8.833763647079468,8.959690284729003,9.18207049369812,9.440481662750244,9.722848892211914,10.028379440307617,10.24386215209961,10.728921346664428,11.485363122940091,0.540778398513794,2.1178501510620116,0.3624439239501953,0.000286102294921875,0.023889541625976562,9.5367431640625e-05,2097152
5,7.96779727935791,13.75887680053711,9.474014282226562,0.4368717074394226,9.438227653503418,0.7175114750862122,1.6221003532409668,8.607187423706055,8.830122089385986,8.956447887420655,9.179097652435303,9.438227653503418,9.721186637878418,10.02758493423462,10.243114376068116,10.72952262878418,11.486024514198304,0.5420889854431152,2.122335205078125,0.37779808044433594,0.0003814697265625,0.023698806762695312,9.5367431640625e-05,2097152
6,7.96474027633667,13.839001655578613,9.471883773803711,0.4378065764904022,9.4359769821167,0.7174896001815796,1.6187939643859863,8.603303518295288,8.826596355438232,8.953226089477539,9.176258087158203,9.4359769821167,9.719647407531738,10.026856231689454,10.242714786529541,10.7304314994812,11.485395303726202,0.5433893203735352,2.1271279811859127,0.3933906555175781,0.0003814697265625,0.023889541625976562,9.5367431640625e-05,2097152
7,7.961763381958008,13.890096664428711,9.469795227050781,0.4387170076370239,9.433775901794434,0.7174137830734253,1.615464210510254,8.599498977661133,8.823224067687988,8.950008487701416,9.173482418060303,9.433775901794434,9.7181236743927,10.02593870162964,10.242181253433227,10.730691328048707,11.488415875434889,0.5446412563323975,2.1311923503875736,0.40755271911621094,0.00057220458984375,0.024318695068359375,9.5367431640625e-05,2097152
8,7.958913326263428,13.909403800964355,9.467781066894531,0.4395894706249237,9.431612014770508,0.717299222946167,1.6120538711547852,8.59603889465332,8.819901037216187,8.94697380065918,9.170788764953613,9.431612014770508,9.71668291091919,10.025141620635987,10.241917085647582,10.730999326705932,11.488877067565955,0.5458941459655762,2.134960432052612,0.4223823547363281,0.00057220458984375,0.02460479736328125,4.76837158203125e-05,2097152
9,7.956140995025635,13.912809371948242,9.465812683105469,0.44043633341789246,9.429522514343262,0.7171316146850586,1.6084766387939453,8.592516431808471,8.816815376281738,8.943994617462158,9.168187141418457,9.429522514343262,9.715168952941895,10.02435178756714,10.241320514678955,10.732031202316284,11.491656367302015,0.5469818115234375,2.1395147705078124,0.43621063232421875,0.00057220458984375,0.024175643920898438,4.76837158203125e-05,2097152
